Address,Price,Beds,Baths,SqFt,Latitude,Longitude,Property Type,Year Built,Amenities,Cluster_ID,Neighborhood,Listing ID,Address 2,City,State,Zip,Formatted Address
9663 Harbour Cove Ct,1900,2.0,1.5,988.0,42.203802,-83.568645,Condo,,,2,Gault Village,,,Ypsilanti,MI,,
211 N Adams St,925,0.0,1.0,400.0,42.244193,-83.616452,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
5036 Bolla Rd,1400,1.0,1.0,576.0,42.157246,-83.657768,Apartment,,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
508 N Congress St,2000,4.0,2.0,,42.241245,-83.619507,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
605 W Cross St,1245,2.0,1.0,,42.245482,-83.621088,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
604 Pearl St,1195,2.0,1.0,800.0,42.242399,-83.620918,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
513 Emmet St,1500,3.0,1.0,,42.244522,-83.620121,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
415 Ballard St,1245,2.0,1.0,800.0,42.246557,-83.619579,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
413 Ballard St,1300,2.0,1.0,,42.24642,-83.619576,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 N Congress St,1425,3.0,1.0,,42.240795,-83.624303,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
512 W Cross St,1550,3.0,1.0,,42.246035,-83.61997,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
603 W Cross St,1300,3.0,1.0,,42.245498,-83.620907,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
760 Jenness St,1295,2.0,1.0,975.0,42.251008,-83.617917,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
120 Ballard St,1195,2.0,1.0,800.0,42.243211,-83.618919,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
308 Jarvis St,1195,2.0,1.0,900.0,42.250596,-83.617799,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
504 Saint John,1295,2.0,1.0,,42.251389,-83.619899,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
514 Emmet St,1095,1.0,1.0,,42.244793,-83.620023,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
55 Burbank Ave,1075,2.0,1.0,650.0,42.245956,-83.58593,Apartment,1962.0,,7,West Willow,,,Ypsilanti,MI,,
6244 Trumpeter Ln,2304,3.0,2.5,1450.0,42.198557,-83.698549,Apartment,2000.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
1616 Washtenaw Ave,3000,2.0,1.5,1006.0,42.247781,-83.638369,Condo,1967.0,,1,Westlawn,,,Ypsilanti,MI,,
701 Emmet St,1295,3.0,1.5,682.0,42.244661,-83.622226,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1266 Leforge Rd,1285,2.0,1.5,1125.0,42.25706,-83.62095,Apartment,1970.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
400 Perrin St,995,1.0,1.0,600.0,42.245766,-83.620489,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
945 W Clark Rd,1597,3.0,2.0,1134.0,42.259657,-83.627835,Apartment,2024.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
213 N Hamilton St,795,0.0,1.0,400.0,42.244358,-83.617979,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
2224 Touchdown Ct,1495,2.0,1.0,993.0,42.251908,-83.649254,Condo,2000.0,,1,Westlawn,,,Ypsilanti,MI,,
4800 W Clark Rd,1310,1.0,1.0,744.0,42.257725,-83.664368,Apartment,2025.0,,1,Westlawn,,,Ypsilanti,MI,,
1000 N Huron River Dr,1119,1.0,1.0,525.0,42.254695,-83.622765,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
1993 Arbor Woods Blvd,1699,3.0,2.0,1286.0,42.271497,-83.574408,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
2020 Arbor Cir E,1299,1.0,1.0,792.0,42.25767,-83.6669,Apartment,1997.0,,1,Westlawn,,,Ypsilanti,MI,,
329 Jarvis St,1045,1.0,1.0,,42.249869,-83.618702,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
770 Oswego Ave,1700,3.0,1.5,1008.0,42.233295,-83.570611,Single Family,1960.0,,7,West Willow,,,Ypsilanti,MI,,
5825 Plum Hollow Dr,1299,1.0,1.0,618.0,42.204325,-83.693131,Apartment,1989.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
845 W Clark Rd,995,1.0,1.0,644.0,42.259472,-83.625267,Apartment,2024.0,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
2835 Roundtree Blvd,1269,1.0,1.0,850.0,42.229238,-83.658448,Apartment,,,1,Westlawn,,,Ypsilanti,MI,,
405 N Harris Rd,925,1.0,1.0,690.0,42.246849,-83.584091,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
